line,class_value
See the wiki page on link:{wireshark-wiki-url}SSL[SSL] for instructions,1
Open a dialog showing expert information in the capture.,0
"Displays a dialog box that allows you to create and edit display filters. You can name filters, and you can save them for future use. See <<ChWorkDefineFilterSection>>.",1
    void* buf_,1
#ifdef HAVE_ZLIB,0
"	slice_t* data_to_save = (slice_t *)wmem_alloc0(wmem_file_scope(), sizeof(slice_t))_",0
"	//		... and going to port 4984 for message type = MSG occurred in wireshark packet #12""",0
	// Adapted from sample code in https://raw.githubusercontent.com/wireshark/wireshark/master/doc/README.dissector,0
 * Editor modelines  -	http://www.wireshark.org/tools/modelines.html,0
"        dissect_dsmcc_un_session_nsap(tvb, offset, pinfo, sub_sub_tree)_",1
"        proto_tree_add_item(sub_tree, hf_dsmcc_adaptation_type, tvb, offset, 1, ENC_BIG_ENDIAN)_",1
. btn:[Enable All]: Enable all protocols in the list.,0
"static void forge_and_dissect_socketcan(tvbuff_t *tvb, packet_info *pinfo,",0
            datalen -= processed_bytes_,0
"        if (dissector_try_payload_new(avb1722_acf_dissector_table, next_tvb, pinfo, tree_can, TRUE, &can_id) <= 0) {",0
"$Win32CurrentTag = ""2019-08-14""",0
    timeinfo = localtime(&rawtime)_,1
#define USBLL_ADDRESS_HOST_TO_DEV 0,0
        dst_addr->flags = USBLL_ADDRESS_HOST_,0
            /* SPLIT transactions are directed to the device without any particular endpoint */,1
#define USBLL_POISON 0xFE,1
"static int usbll_addr_to_str(const address* addr, gchar *buf, int buf_len _U_)",1
    pinfo->ptype = PT_NONE_,0
"    copy_address_shallow(&pinfo->dst, &pinfo->net_dst)_",0
	if (id_is_query) {,0
"		return dissect_obdii_query(tvb, &oinfo, obdii_tree)_",0
"        return g_strlcpy(buf, ""Broadcast"", buf_len) + 1_",0
        return 10_,0
    *buf = '\0'_ /* NULL terminate */,0
    return 11_,0
    return 2_,0
    if (isReply(op_code) || LSC_DONE),1
    const char **in_filenames = (const char **)g_malloc(sizeof(const char*) * local_files.size())_,1
	*filenamep = g_strdup(tmpname)_,0
"    proto_tree_add_item(sub_tree, hf_dsmcc_un_sess_rsrc_value_type, tvb, offset, 2, ENC_NA)_",0
"#define OTRXC_UDP_PORTS ""5701,5703,5800,5801,5803""",0
"	col_add_fstr(pinfo->cinfo, COL_INFO, ""Rx TS=%u, FN=%u, RSSI=%u, ToA=%d"", ts, fn, rssi, toa)_",0
"						""OsmoTRX Tx Burst (TS=%d, FN=%u, RSSI=%u, ToA=%d)"",",0
"		proto_tree_add_item(otrxb_tree, hf_otrxb_rssi, tvb, offset, 1, ENC_NA)_",0
"		proto_tree_add_item(otrxb_tree, hf_otrxb_soft_symbols, tvb, offset, 148, ENC_NA)_",0
/* Burst data in Transmit direction */,0
/* packet-osmo_trx_burst.c,1
 * This program is free software_ you can redistribute it and/or,1
"	proto_otrx_c = proto_register_protocol(""Osmocom TRX Control Protocol"", ""otrx_c"", ""otrx_c"")_",0
"	col_set_str(pinfo->cinfo, COL_INFO, (const gchar *) msg_str)_",0
"	dissector_add_uint_range_with_preference(""udp.port"", OTRXC_UDP_PORTS, otrxc_handle)_",0
"        &hf_usbll_crc5,",0
"dissect_usbll_split(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree, void* data _U_, gint offset)",0
<<ChDisplayFilterMacrosSection>>,1
This file contains all the display filter macros that you have defined and saved.,1
static gboolean check_file_exists(const char * filename){,0
"    QList<int> rows = const_cast<ProfileModel *>(this)->findAllByNameAndVisibility(set_profile_, false, true)_",0
    if ((tokens[THREAD_URI_NAMESPACE_IDX] != NULL) && (tokens[THREAD_URI_COMMAND_IDX] != NULL)) {,0
#define THREAD_URI_COMMAND_IDX 2,1
"	DISSECTOR_ASSERT_HINT(element->data != NULL, ""Unable to allocate memory."")_",1
			DISSECTOR_ASSERT(pdata != NULL)_,1
				DISSECTOR_ASSERT(conv_data != NULL)_,1
} f5tls_keylog_format_t_,0
 *  As we come across the initial crypto data store it in a struct on the coversation.,1
 * @param ptr     Pointer to byte array that will be examined,1
	DISSECTOR_ASSERT_NOT_REACHED()_,1
	f5tls_packet_data_t *pdata = ((f5tls_data_t *)data)->pkt_,1
					if ((crnd_changed && conv_data->exporter_sec.len != 0)) {,0
				if (secret_len > 0) {,0
	/* Combine 2 byte TYPE with 2 btye VERSION into guint32 for the subdissector table lookup */,1
"					chs = tvb_get_ptr(tvb, o, secret_len)_",0
"        ui->checkSaveOnStart->setText(tr(""Save parameters on capture start""))_",0
"echo ""libnl is unavailable"" >&2",1
WS_DLL_PUBLIC GHashTable * allowed_profile_filenames(void)_,1
        if sys.byteorder == 'big':,0
			if (secret_len <= F5TLS_HASH_LEN) {,1
					o += F5TLS_HASH_LEN_,1
"	return(dissector_try_uint_new(tls_subdissector_table, pattern, tvb, pinfo, tree, FALSE, NULL))_",1
  image: debian:stable,0
    - apt-get update -qq,1
    - dpkg-buildpackage -b --no-sign -Jauto > /dev/null 2>&1 || dpkg-buildpackage -b --no-sign --no-pre-clean,1
"	lsb-release""",0
# https://about.gitlab.com/2016/10/12/automated-debian-package-build-with-gitlab-ci/,0
build-debian-deb:,0
    - apt-get install -y lsb-release libbrotli-dev,0
    - dpkg-buildpackage -b --no-sign -J$(nproc) > /dev/null 2>&1 || dpkg-buildpackage -b --no-sign -J$(nproc) --no-pre-clean ,0
"    g_printerr(""Temp dir for unzip: %s\n"", dir.path().toUtf8().constData())_",0
        ctx_menu_.addSeparator()_,1
            if ( ( parent && parent->status == PROF_STAT_NEW ) || ( ! parent && prof->status == PROF_STAT_NEW ) ),0
            else,1
    /* Changing this order requires changing filterTypes() as well! */,1
		DATA_INDEX_VALUE_IS_URL,1
"        pd_ui_->hintLabel->setText(tr(""%Ln profile(s) selected"", """", list.count()))_",0
		model_->disconnect()_,1
    if ( message.isEmpty() && ( name.startsWith('.') || name.endsWith('.') ) ),1
"        /* what to do, if only a single profile is selected and it is either global or default */",1
"        msg = """"_",1
        if ( index.data(ProfileModel::DATA_IS_DEFAULT).toBool() ),1
        {,1
"            msg = tr(""The default profile cannot be exported."")_",1
            enable_export = false_,1
        },1
        else if ( index.data(ProfileModel::DATA_IS_GLOBAL).toBool() ),1
"            msg = tr(""A global profile cannot be exported."")_",1
        export_selected_entry_->setToolTip(msg)_,1
        if ( skipped > 0 ),0
    if (wsApp && dir.length() > 0) wsApp->setLastOpenDir(dir.toUtf8().constData())_,1
"        if (! g_file_test(libname, G_FILE_TEST_EXISTS)) {",1
"            err = g_string_new(""Error loading PKCS #11 libraries:"")_",1
                /* TODO: should also affect LCID/SRB-3 ? */,1
      <string>Save parameters on capture start</string>,0
tar xaf wireshark-2.9.0.tar.xz,0
apt install wireshark,0
----,0
 defined in USB 2.0 Specificaiton. This function calculates the CRC,0
#endif /* crc5.h */,0
 crc5_usb_11bit_input@Base 3.1.0,0
"        } while (g_file_test(save_as_fullpath.toUtf8().constData(), G_FILE_TEST_EXISTS) && ++count < 1000)_",1
"            msg = tr(""One profile has been imported"")_",0
    packets = 0_,0
    QString path = gchar_free_to_qstring(isGlobal() ? get_global_profiles_dir() : get_profiles_dir())_,1
class Profile,1
"    Profile(QString name, bool isGlobal = false, bool isDefault = false) : name_(name), isGlobal_(isGlobal), isDefault_(isDefault) {}",0
"Q_LOGGING_CATEGORY(modelProfiles, ""wireshark.model.profiles"")_",0
#include <QDebug>,1
        return false_,0
"    qWarning() << ""Das ist ein Test""_",1
Q_DECLARE_LOGGING_CATEGORY(modelProfiles)_,0
#include <config.h>,0
#include <glib.h>,1
"            msg.append(tr("", %n profile(s) skipped"", """", skipped))_",0
        addSeparator()_,0
QAction * CopyFromProfileMenu::systemDefault(QString filename),1
    addActions(global)_,0
    if (global.count() > 0),0
  tag_len -= 4_,0
"     {""Load (pps)"", ""wlan.tag.symbol_proprietary.extreme.load_pps"",",0
"          tap_credential_t* auth = wmem_new0(wmem_packet_scope(), tap_credential_t)_",0
          if (!session_state->),0
"            session_state->username = wmem_strdup(wmem_packet_scope(), decrypt)_",0
"            decrypt = tvb_get_string_enc(wmem_file_scope(), tvb, loffset, linelen, ENC_ASCII)_",0
          session_state->username = decrypt_,0
            session_state->username = decrypt_,0
"          tap_credential_t* auth = wmem_new0(wmem_file_scope(), tap_credential_t)_",0
"          auth->info = wmem_strdup_printf(wmem_file_scope(), ""Username in packet %u"", auth->username_num)_",0
"        data_val->username = tvb_get_string_enc(wmem_file_scope(), tvb, offset, linelen, ENC_NA|ENC_ASCII)__",0
"          data_val->username = tvb_get_string_enc(wmem_file_scope(), tvb, offset, linelen, ENC_NA|ENC_ASCII)__",1
"            guint8* password = tvb_get_string_enc(wmem_file_scope(), tvb, password_offset + 1, password_tokenlen - 2, ENC_ASCII | ENC_NA)_",1
	libminizip-devel \,0
#endif,1
        minizip-dev \,0
        libminizip-dev \,0
        libminizip-devel \,0
"static const true_false_string tfs_exclude_include = { ""Exclude"", ""Include"" }_",0
	struct hf_tree tree = {0}_,0
 * executions.,0
"					if (wmem_array_try_index(obuf, out_start+out_off-match_off, &byte))",0
import re,1
"                         bytes.fromhex(re.sub('[^0-9A-Fa-f]','', proc.stdout_str)))",1
 *,1
 * Copyright (C) 2019  Aurélien Aptel,1
"		out = GUINT16_FROM_LE(*(const guint16*)BUF_POS(buf, ofs))_ \",1
					guint64 value = 0_,0
					if ((i*8) < length) {,0
					if (i < length) {,1
"					proto_tree_add_bitmask_list_value(tree, out_tvb, offset + MIN(i, length - 1), 1, section_named_bits, value)_",1
"dissect_zbee_zcl_elec_mes(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree , void* data)",0
    *err_info = NULL_,0
                if (p_ftp_conv && !p_ftp_conv->username && !p_ftp_conv->username_pkt_num) {,0
                if (p_ftp_conv) {,0
"			auth = wmem_new0(wmem_file_scope(), tap_credential_t)_",0
"	tap_credential_t* auth = wmem_new0(wmem_file_scope(), tap_credential_t)_",0
"    clone->info = auth->info = wmem_strdup(NULL, auth->info)_",0
"                    wmem_free(wmem_file_scope(), p_ftp_conv->username)_",0
    clone->username = g_strdup(auth->username)_,0
        g_free(*itr)_,0
        break_,1
"            connect(this, SIGNAL(bgColorizationProgress(int, int)),",1
"    { NCSI_TYPE_GLS,	""Get link status"" },",1
"			tap_queue_packet(credentials_tap, pinfo, auth)_",0
"	aad = tvb_get_ptr(tvb, offset_aad, aad_size)_",1
"		if ((err = gcry_cipher_ctl(cipher_hd, GCRYCTL_SET_CCM_LENGTHS, lengths, sizeof(lengths)))) {",1
"	data = (guint8 *)tvb_memdup(pinfo->pool, tvb, offset, sti->size)_",0
"		wmem_free(pinfo->pool, data)_",1
"			NULL, SMB2_CIPHER_AES_128_CCM, NULL, HFILL }",0
  ascendlex_destroy(&scanner)_,0
        return 0_,1
"dissect_omron_fins_tcp(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree, void *data) {",1
"        tvbuff_t *slice = tvb_new_subset_remaining(tvb, fins_pdu_offset)_",0
"        if (tvb_get_guint32(tvb, 0, ENC_BIG_ENDIAN) != OMRON_FINS_TCP_MAGIC_BYTES) {",1
    int margin = 2 * 6 + 1_,0
"    QVariant hf_id = idx.sibling(idx.row(), CredentialsModel::ColumnHFID).data(CredentialsModel::ColumnHFID)_",0
"    QVariant hf_id = idx.sibling(idx.row(), CredentialsModel::ColumnHFID).data(Qt::UserRole)_",0
        hf_id = qVariantFromValue(-1)_,0
    if ( ! hf_id.canConvert(QVariant::Int) ),0
                if ( auth->num != auth->username_num && auth->username_num > 0 ),0
        else if ( index.column() == COL_USERNAME && auth->username_num > 0 ),0
	if (idx.column() != 0),0
		return_,0
	qint32 packet_num = idx.data().toInt()_,0
	if (packet_num > 0) {,0
        packet_list_->goToPacket(packet_num)_,0
    if (role == Qt::DisplayRole) {,1
    if (role != Qt::DisplayRole),1
    ui->auths->setSortingEnabled(true)_,0
"column_prefs_add_custom_with_position(gint fmt, const gchar *title, const gchar *custom_fields, gint custom_occurrence, gint16 position)",0
    if (position < 0),0
                                      gint16 position)_,0
"            msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, smpp_sms_decode)_",0
"        msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, ENC_ISO_8859_1)_",0
"    prefs_register_enum_preference(smpp_module, ""decode_sms_over_smpp"",",0
"                         ""Decode SMS when DCS is 0 (zero)"",",0
"        msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, smpp_sms_decode)_",0
"        dest = (unsigned char*)wmem_alloc(wmem_packet_scope(), length+1)_",0
"        msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, ENC_NA)_",0
"        msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, ENC_ASCII)_",0
"                FT_STRING, BASE_NONE, NULL, 0x00,",0
"            {   ""Message bytes"", ""smpp.message_bytes"",",0
"void smpp_handle_dcs(proto_tree *tree, tvbuff_t *tvb, int *offset, guint32 *dataCoding)_",0
    case 0:,0
"    dataCoding = tvb_get_guint8(tvb, offset-1)_",0
"            {   ""Message"", ""smpp.message"",",0
"        { ""none"",        ""None"",       -1 },",0
 * -1 = DO_NOT_DECODE,0
 * 3  = DECODE_AS_ISO-8859-1,0
"        msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, smpp_decode_dcs_0_sms)_",0
"        { ""iso-8859-1"",  ""ISO-8859-1"",  3 },",0
"        msg = tvb_get_string_enc(wmem_packet_scope(), tvb, offset, length, ENC_UCS_2|ENC_NA)_",0
      } else {,0
    lenE = (octet & 0x3) + 1_,0
      DISSECTOR_ASSERT_NOT_REACHED()_,1
"	<avp name=""PS-Previous-Information"" code=""1140"" mandatory=""must"" may-encrypt=""no"" protected=""mustnot"" vendor-bit=""must"" vendor-id=""TGPP"">",0
          offset +=4_,1
#define DIAM_APPID_3GPP_STA     16777250,0
"dissect_diameter_3gpp_mip6_feature_vector(tvbuff_t *tvb, packet_info *pinfo _U_, proto_tree *tree, void *data _U_)",0
"int dissect_diameter_3gpp_mip6_feature_vector(tvbuff_t*, packet_info*, proto_tree*, void*)_",0
            return offset_,1
"                    tvb_composite_append(reassembled_tvb, tvb_new_subset_length(tvb, 0, offset))_",0
"                guint8 *setup_data = (guint8 *)wmem_tree_lookup32(usbpcap_setup_data, pinfo->num-1)_",0
"                    add_new_data_source(pinfo, reassembled_tvb, ""USBPcap reassembled setup"")_",0
        if ((bm_request_type & 0x80) == 0 && usb_conv_info->is_setup &&,0
                    //pinfo->srcport = NO_ENDPOINT_,0
"  nrppa_handle = find_dissector_add_dependency(""lppa"", proto_ngap)_",0
            key[2].key = &k_frame_number_,1
"                request_data = (request_data_t *)wmem_tree_lookup32_le(wmem_tree, pinfo->num)_",0
            info->direction = 1_,0
            inf.assoc_index = info->assoc_index_,0
            inf.direction = 2_,0
static int hf_babel_message_index = 0_,0
static char *subtype_to_str(int type),0
        if (subtype == MESSAGE_SUB_PADN){,0
"        proto_tree_add_debug_text(filter_rule_tree, ""-----------Display Filter Rule(s) in V3 Struct  Format------------"")_",0
"            &aeroscout_header,",0
/* Start the FUNCTION2s we need for the plugin stuff */,0
			offset += 4_,0
	switch (temp),0
	if ((opCode_action & 0xf000) == 0x0000),0
"    { &ei_ngap_number_pages_le15, { ""ngap.number_pages_le15"", PI_MALFORMED, PI_ERROR, ""Number of pages should be <=15"", EXPFILL }}",0
"    dissector_add_string(""ngap.n2.sm"", ""PduSessionResourceReleaseCommandTransfer"", create_dissector_handle(dissect_PDUSessionResourceReleaseCommandTransfer_PDU, proto_ngap))_",0
﻿/* packet_list.cpp,0
    qSort(selectedRows)_,0
 *   https://www.cablelabs.com/specs,0
"  dh = dissector_get_uint_handle(cl3_command_table, subprotocol_id)_",0
"    ssid_len = tvb_get_guint8(tvb, offset + 6)_ /* +6 = skip over mac address */",0
  if (cl3_tree) {,0
  if (tree) {,0
"    proto_tree_add_uint(cl3_tree, _hf_cl3_version,    tvb, 0, 1, version)_",0
"                                ""CL3 Payload (%u byte%s)"", payload_length,",0
static int           _hf_cl3dcw_type             = -1_,0
"  proto_tree_add_uint(tree, _hf_cl3dcw_datamacaddrcount, tvb, 0, 1, data_macaddr_count)_",0
  gint    bytes_consumed_,0
"    bond_item = proto_tree_add_string_format(tree, _hf_cl3dcw_dcbond, tvb, bytes_consumed, 6 + 1 + ssid_len,",0
#define CL3TYPE_DCW 0x00DC,0
"	proto_tree_add_item_ret_uint(batadv_iv_ogm_tree, hf_batadv_iv_ogm_seqno,",1
"	proto_tree_add_item(batadv_iv_ogm_tree, hf_batadv_iv_ogm_seqno, tvb,",1
"            proto_tree_add_item(main_tree, hf_setup_brequest, tvb, offset, 1, ENC_LITTLE_ENDIAN)_",0
"            if (tvb_captured_length_remaining(tvb, offset) > 0)",0
"                proto_tree_add_expert(main_tree, pinfo, &ei_undecoded, tvb, offset, -1)_",0
"        bytes = tvb_captured_length_remaining(tvb, offset)_",0
"    usb_conv_info->deviceVersion = tvb_get_letohs(tvb, offset)_",1
	if (tree) {,0
"                ""iso7816.subdissector"",",1
            s = eval(input ('Query: ')),1
"	<application id=""16777257""	name=""Telefonica OCS Account Management application"" uri=""none""/>",0
 * Radiotap (type 6):,0
"            proto_tree_add_item(sub_tree, hf_btmesh_model_layer_parameters, tvb, offset, -1, ENC_NA)_",1
"            FT_UINT16, BASE_DEC, VALS(btmesh_model_vals), 0x0,",1
"/*        { &hf_btmesh_config_composition_data_status_data,",1
    static const int * pfcp_out_hdr_removal_flags[] = {,0
"        &hf_pfcp_gtpu_ext_hdr_del,",0
        NULL,0
    /* Octet 7 to (n+4) Application Identifier,0
    * The Application Identifier shall be encoded as an OctetString (see 3GPP TS 29.212),0
static const true_false_string pfcp_sess_cont_ext_hdr_to_del_tfs = {,0
"    ""PDU Session Container to be deleted"",",0
"    ""PDU Session Container not to be deleted""",0
                    padding = (4 - (psts % 4)) % 4_,0
"http_reset_hash_responses(gchar *key _U_, http_response_code_t *data, gpointer ptr _U_ )",0
"http_reset_hash_requests(gchar *key _U_, http_request_methode_t *data, gpointer ptr _U_ )",0
"    { 0x7801, ""zlib"" },",1
    return ((header >> 8) == 0x78) && ((header % 31) == 0)_,0
        if (captured_length < min_len),1
"            number = tvb_get_guint8(tvb, 10)_",1
"        col_set_str(pinfo->cinfo, COL_PROTOCOL, ""GELF"")_",1
"        proto_tree_add_boolean(gelf_tree, hf_gelf_pdu_chunked, tvb, 0, 2, TRUE)_",1
                    return 0_,1
" * Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301 USA.",1
    int len_,1
            goto handle_compressed_,0
"                col_set_str(pinfo->cinfo, COL_PROTOCOL, ""GELF"")_",0
"    proto_item *ti = proto_tree_add_item(tree, proto_gelf, tvb, 0, -1, ENC_NA)_",0
"    header = tvb_get_ntohs(tvb, 0)_",1
"    if (dissect_gelf_udp(tvb, pinfo, tree, data) > 0) {",0
"        { &hf_gelf_pdu_chunked,",0
"                ""Chunked messeage"", ""gelf.chunked"", FT_BOOLEAN,",1
                       HEURISTIC_ENABLE)_,1
/* packet-gelf.c,0
 * Routines for Graylog Extended Log Format (GELF) dissection,0
" * (c) Copyright 2019, Slava Bacherikov <slava@bacher09.org>",0
 * Wireshark - Network traffic analyzer,1
 * By Gerald Combs <gerald@wireshark.org>,1
 * Copyright 1998 Gerald Combs,1
 * modify it under the terms of the GNU General Public License,1
 * as published by the Free Software Foundation_ either version 2,1
" * of the License, or (at your option) any later version.",1
" * This program is distributed in the hope that it will be useful,",1
 * but WITHOUT ANY WARRANTY_ without even the implied warranty of,1
 * MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the,1
 * GNU General Public License for more details.,1
 * You should have received a copy of the GNU General Public License,1
" * along with this program_ if not, write to the Free Software",1
 */,1
"#include ""config.h""",1
#include <epan/packet.h>,1
#include <epan/to_str.h>,1
#include <epan/reassemble.h>,0
#define HEADER_GZIP 0x1f8b,0
#define HEADER_ZLIB 0x789c,0
#define HEADER_CHUNKED 0x1e0f,0
// not sure if this really used,0
// seen this here: https://github.com/lusis/gelfd/blob/229cf5f1f913a35db648b195300d1aaae841d522/lib/gelfd.rb#L7,0
#define HEADER_UNCOMPRESSED 0x1f3c,0
"#define HEADER_UNCOMPRESSED_PLAIN 0x7b22 // {"", json payload without real header",0
// make 32 bit message id from 64 bit message id,0
#define BUILD_MESSAGE_ID(X) ((X[3] << 3 | X[2] << 2 | X[1] << 1 | X[0]) ^ \,0
                            (X[4] << 3 | X[5] << 2 | X[6] << 1 | X[7])),0
static dissector_handle_t json_handle_,0
static int proto_gelf = -1_,0
static dissector_handle_t gelf_udp_handle_,0
static gint ett_gelf = -1_,0
static gint hf_gelf_pdu_type = -1_,0
static gint hf_gelf_pdu_message_id = -1_,0
static gint hf_gelf_pdu_chunk_number = -1_,0
static gint hf_gelf_pdu_chunk_count = -1_,0
static gint hf_gelf_pdu_chunked = -1_,0
static const value_string gelf_udp_types[] = {,0
"    { HEADER_GZIP, ""gzip"" },",0
"    { HEADER_ZLIB, ""zlib"" },",0
"    { HEADER_CHUNKED, ""chunked"" },",0
"    { HEADER_UNCOMPRESSED, ""uncompressed"" },",0
"    { HEADER_UNCOMPRESSED_PLAIN, ""uncompressed plain json"" },",0
"    { 0, NULL }",1
}_,1
static reassembly_table gelf_udp_reassembly_table_,0
static gint ett_gelf_fragment = -1_,0
static gint ett_gelf_fragments = -1_,0
static int hf_gelf_fragments = -1_,0
static int hf_gelf_fragment = -1_,0
static int hf_gelf_fragment_overlap = -1_,0
static int hf_gelf_fragment_overlap_conflict = -1_,0
static int hf_gelf_fragment_multiple_tails = -1_,0
static int hf_gelf_fragment_too_long_fragment = -1_,0
static int hf_gelf_fragment_error = -1_,0
static int hf_gelf_fragment_count = -1_,0
static int hf_gelf_reassembled_in = -1_,0
static int hf_gelf_reassembled_length = -1_,0
static const fragment_items gelf_fragment_items = {,0
"    &ett_gelf_fragment,",0
"    &ett_gelf_fragments,",0
"    &hf_gelf_fragments,",0
"    &hf_gelf_fragment,",0
"    &hf_gelf_fragment_overlap,",0
"    &hf_gelf_fragment_overlap_conflict,",0
"    &hf_gelf_fragment_multiple_tails,",0
"    &hf_gelf_fragment_too_long_fragment,",0
"    &hf_gelf_fragment_error,",0
"    &hf_gelf_fragment_count,",0
"    &hf_gelf_reassembled_in,",0
"    &hf_gelf_reassembled_length,",0
"    NULL,",0
"    ""GELF fragments""",0
static int,1
"dissect_gelf_simple_udp(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree,",0
"                        void *data _U_, guint16 header, gboolean set_name)",0
{,1
    tvbuff_t *next_tvb_,0
    char *packet_name_,0
    switch (header) {,0
        case HEADER_ZLIB:,0
"            packet_name = ""ZLIB""_",0
        case HEADER_GZIP:,0
"            packet_name = ""GZIP""_",0
        handle_compressed:,0
            if (set_name) {,0
"                col_set_str(pinfo->cinfo, COL_INFO, packet_name)_",0
            },1
            len = tvb_captured_length(tvb)_,0
"            next_tvb = tvb_uncompress(tvb, 0, len)_",0
            if (next_tvb) {,0
"                add_new_data_source(pinfo, next_tvb, ""compressed data"")_",0
"                call_dissector(json_handle, next_tvb, pinfo, tree)_",0
            return len_,0
        case HEADER_UNCOMPRESSED:,0
"                col_set_str(pinfo->cinfo, COL_INFO, ""uncompressed"")_",0
"            next_tvb = tvb_new_subset_remaining(tvb, 2)_",0
            return tvb_captured_length(tvb)_,0
        case HEADER_UNCOMPRESSED_PLAIN:,0
"            if (call_dissector(json_handle, tvb, pinfo, tree) == 0) {",0
                return 0_,0
            } else {,1
                if (set_name) {,0
"                    col_set_str(pinfo->cinfo, COL_PROTOCOL, ""GELF"")_",0
"                    col_set_str(pinfo->cinfo, COL_INFO, ""uncompressed plain json"")_",0
                },1
                return tvb_captured_length(tvb)_,0
        default:,1
            return 0_,0
    },1
    return tvb_captured_length(tvb)_,1
},1
"dissect_gelf_udp(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree, void *data)",0
    guint16 header_,0
    if (tvb_captured_length(tvb) < 2),0
"    proto_tree *gelf_tree = proto_item_add_subtree(ti, ett_gelf)_",0
"    proto_tree_add_item(gelf_tree, hf_gelf_pdu_type, tvb, 0, 2, ENC_BIG_ENDIAN)_",0
    if (header == HEADER_CHUNKED) {,0
"        guint32 number, count, short_id, data_len_",0
        GByteArray *bytes_,0
        char message_id[17]_,0
        gboolean more_frags_,0
        fragment_head *fd_head_,0
        message_id[0] = '\0'_,0
        bytes = g_byte_array_sized_new(8)_,0
"        col_clear(pinfo->cinfo, COL_INFO)_",1
"        proto_tree_add_bytes_item(gelf_tree, hf_gelf_pdu_message_id, tvb, 2, 8, ENC_BIG_ENDIAN,bytes,",0
"                                  NULL, NULL)_",0
"        proto_tree_add_item_ret_uint(gelf_tree, hf_gelf_pdu_chunk_number, tvb, 10, 1, ENC_BIG_ENDIAN,",0
                                     &number)_,0
"        proto_tree_add_item_ret_uint(gelf_tree, hf_gelf_pdu_chunk_count, tvb, 11, 1, ENC_BIG_ENDIAN,",0
                                     &count)_,0
"        bytes_to_hexstr(message_id, bytes->data, 8)_",0
        message_id[16] = '\0'_,0
        // HACK: convert 64 bit message id to 32 bit :),0
